yearCombine,idPlayer,nameFirst,nameLast,namePlayer,slugPosition,heightWOShoesInches,heightWOShoes,weightLBS,wingspanInches,wingspan,reachStandingInches,reachStandingO,verticalLeapStandingInches,verticalLeapMaxInches,timeLaneAgility,timeThreeQuarterCourtSprint,repsBenchPress135,pctBodyFat,heightWShoesInches,heightWShoes,lengthHandInches,widthHandInches,timeModifiedLaneAgility,setSpot15CornerLeft,setSpot15BreakLeft,setSpot15TopKey,setSpot15BreakRight,setSpot15CornerRight,setSpot15CornerLeftCollege,setSpot15BreakLeftCollege,setSpot15TopKeyCollege,setSpot15BreakRightCollege,setSpot15CornerRightCollege,setSpot15CornerLeftNBA,setSpot15BreakLeftNBA,setSpot15TopKeyNBA,setSpotBreakRightNBA,setSpotCornerRightNBA,setSpot15CornerLeftMade,setSpot15CornerLeftAttempted,setSpot15CornerLeftPct,setSpot15BreakLeftMade,setSpot15BreakLeftAttempted,setSpot15BreakLeftPct,setSpot15TopKeyMade,setSpot15TopKeyAttempted,setSpot15TopKeyPct,setSpot15BreakRightMade,setSpot15BreakRightAttempted,setSpot15BreakRightPct,setSpot15CornerRightMade,setSpot15CornerRightAttempted,setSpot15CornerRightPct,setSpot15CornerLeftCollegeMade,setSpot15CornerLeftCollegeAttempted,setSpot15CornerLeftCollegePct,setSpot15BreakLeftCollegeMade,setSpot15BreakLeftCollegeAttempted,setSpot15BreakLeftCollegePct,setSpot15TopKeyCollegeMade,setSpot15TopKeyCollegeAttempted,setSpot15TopKeyCollegePct,setSpot15BreakRightCollegeMade,setSpot15BreakRightCollegeAttempted,setSpot15BreakRightCollegePct,setSpot15CornerRightCollegeMade,setSpot15CornerRightCollegeAttempted,setSpot15CornerRightCollegePct,setSpot15CornerLeftNBAMade,setSpot15CornerLeftNBAAttempted,setSpot15CornerLeftNBAPct,setSpot15BreakLeftNBAMade,setSpot15BreakLeftNBAAttempted,setSpot15BreakLeftNBAPct,setSpot15TopKeyNBAMade,setSpot15TopKeyNBAAttempted,setSpot15TopKeyNBAPct,setSpotBreakRightNBAMade,setSpotBreakRightNBAAttempted,setSpotBreakRightNBAPct,setSpotCornerRightNBAMade,setSpotCornerRightNBAAttempted,setSpotCornerRightNBAPct,setOffDrib15BreakLeft,setSpotOffDrib15TopKey,setOffDrib15BreakRight,setOnMove15,setOnMoveCollege,setOffDrib15BreakLeftMade,setOffDrib15BreakLeftAttempted,setOffDrib15BreakLeftPct,setSpotOffDrib15TopKeyMade,setSpotOffDrib15TopKeyAttempted,setSpotOffDrib15TopKeyPct,setOffDrib15BreakRightMade,setOffDrib15BreakRightAttempted,setOffDrib15BreakRightPct,setOnMove15Made,setOnMove15Attempted,setOnMove15Pct,setOnMoveCollegeMade,setOnMoveCollegeAttempted,setOnMoveCollegePct,setOffDribBreakLeftCollege,setOffDribTopKeyCollege,setOffDribBreakRightCollege,setOffDribBreakLeftCollegeMade,setOffDribBreakLeftCollegeAttempted,setOffDribBreakLeftCollegePct,setOffDribTopKeyCollegeMade,setOffDribTopKeyCollegeAttempted,setOffDribTopKeyCollegePct,setOffDribBreakRightCollegeMade,setOffDribBreakRightCollegeAttempted,setOffDribBreakRightCollegePct
2001,2037,Jamal,Crawford,Jamal Crawford,PG-SG,76.5,6' 4.5'',175,82,6' 10'',102.5,8' 6.5'',,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12017,Caswell,Cyrus,Caswell Cyrus,PF,79.75,6' 7.75'',220.5,86,7' 2'',107.5,8' 11.5'',33.5,37.5,12.12,3.16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2064,Khalid,El-Amin,Khalid El-Amin,PG,69,5' 9'',200,73.5,6' 1.5'',93,7' 9'',27.5,32,10.59,3.32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12018,Vassil,Evtimov,Vassil Evtimov,PF,81.75,6' 9.75'',262,82.5,6' 10.5'',106.5,8' 10.5'',21,28.5,11.75,3.52,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2238,Antonis,Fotsis,Antonis Fotsis,SF,81.25,6' 9.25'',219,80.5,6' 8.5'',106,8' 10'',27,30,11.6,3.44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2109,Eddie,Gill,Eddie Gill,PG,71.75,5' 11.75'',176,76,6' 4'',93,7' 9'',35,38.5,11.12,3.18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12135,Ceedric,Goodwyn,Ceedric Goodwyn,SF-PF,78,6' 6'',238,82,6' 10'',104.5,8' 8.5'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12136,Marcus,Goree,Marcus Goree,SF-PF,79.5,6' 7.5'',239,84.5,7' 0.5'',105.5,8' 9.5'',29.5,33.5,12,3.25,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12137,A.J.,Granger,A.J. Granger,SF,79.5,6' 7.5'',227,81.5,6' 9.5'',103,8' 7'',30,34,10.729999999999999,3.25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2062,A.J.,Guyton,A.J. Guyton,PG-SG,72.75,6' 0.75'',175,75.75,6' 3.75'',97.5,8' 1.5'',33,37.5,10.55,3.22,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2110,Ron,Hale,Ron Hale,SG-SF,79.5,6' 7.5'',202,83,6' 11'',104.5,8' 8.5'',29.5,34.5,12.58,3.2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2078,Jason,Hart,Jason Hart,PG,73.75,6' 1.75'',181,78,6' 6'',97.5,8' 1.5'',29.5,33.5,11.7,3.34,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2051,Donnell,Harvey,Donnell Harvey,PF,79.25,6' 7.25'',220,84.5,7' 0.5'',105.5,8' 9.5'',33,32.5,11.229999999999999,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12138,Johnny,Hemsley,Johnny Hemsley,SG-SF,74.75,6' 2.75'',200,80,6' 8'',100.5,8' 4.5'',31.5,35,11.5,3.19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12139,Michael,Hermon,Michael Hermon,SG-PG,74.75,6' 2.75'',195,78.25,6' 6.25'',98.5,8' 2.5'',29,33,11.79,3.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2083,Cory,Hightower,Cory Hightower,SG-SF,77.5,6' 5.5'',183,83,6' 11'',101.5,8' 5.5'',29.5,34.5,11.92,3.3699999999999997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12140,Shaheen,Holloway,Shaheen Holloway,PG,69.5,5' 9.5'',174,70,5' 10'',91,7' 7'',,,11.219999999999999,3.32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2067,Eddie,House,Eddie House,SG-PG,71.75,5' 11.75'',176.5,75.5,6' 3.5'',95,7' 11'',29.5,38.5,11.12,3.27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2111,Jimmie,Hunter,Jimmie Hunter,SG-PG,75,6' 3'',170,80,6' 8'',100,8' 4'',29,36,11.229999999999999,3.3499999999999996,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12141,Jacob,Jaacks,Jacob Jaacks,PF,81.25,6' 9.25'',238,83,6' 11'',105.5,8' 9.5'',26,32,11.48,3.58,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2060,Marko,Jaric,Marko Jaric,SG-SF,78.5,6' 6.5'',210,81,6' 9'',104,8' 8'',27.5,33,11.32,3.2800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12142,Nate,Johnson,Nate Johnson,SF,78.5,6' 6.5'',211.5,80.5,6' 8.5'',104,8' 8'',27,33.5,11.9,3.3299999999999996,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12143,Kenyon,Jones,Kenyon Jones,PF-C,81,6' 9'',282,85,7' 1'',108,9' 0'',28.5,30,12.44,3.6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2077,Mark,Karcher,Mark Karcher,SG,76,6' 4'',218,80,6' 8'',102.5,8' 6.5'',27.5,30.5,11.51,3.4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12144,Brandon,Kurtz,Brandon Kurtz,PF-C,81.5,6' 9.5'',257,83.25,6' 11.25'',106.5,8' 10.5'',,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2061,Dan,Langhi,Dan Langhi,SF,81,6' 9'',197.5,80,6' 8'',104,8' 8'',31,34.5,10.850000000000001,3.24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2090,Justin,Love,Justin Love,PG-SG,73.5,6' 1.5'',205.5,76.5,6' 4.5'',97.5,8' 1.5'',31,38.5,10.99,3.3099999999999996,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2058,Mark,Madsen,Mark Madsen,PF,80,6' 8'',236.5,84.5,7' 0.5'',104.5,8' 8.5'',30.5,33.5,12.12,3.46,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2082,Dan,McClintock,Dan McClintock,C-PF,83,6' 11'',250,85.5,7' 1.5'',107,8' 11'',33,35,11.52,3.3299999999999996,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2087,Pete,Mickeal,Pete Mickeal,SG-SF,77,6' 5'',222,81.5,6' 9.5'',103.5,8' 7.5'',28,34.5,10.83,3.06,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12145,Brian,Montonati,Brian Montonati,PF,80.75,6' 8.75'',215,82.5,6' 10.5'',106,8' 10'',25,29,11.850000000000001,3.53,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2508,Gabe,Muoneke,Gabe Muoneke,PF-SF,78.25,6' 6.25'',244,84.5,7' 0.5'',105,8' 9'',30.5,34,11,3.4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12146,Ndongo,N'diaye,Ndongo N'diaye,C,83.5,6' 11.5'',208,87.5,7' 3.5'',112.5,9' 4.5'',24.5,27.5,13.16,3.69,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2059,Eduardo,Najera,Eduardo Najera,PF-SF,78.5,6' 6.5'',234.5,83.5,6' 11.5'',104.5,8' 8.5'',28,35,11.38,3.4499999999999997,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12147,Matthew,Nielsen,Matthew Nielsen,PF,81,6' 9'',223,82.5,6' 10.5'',106,8' 10'',26,29,11.28,3.3499999999999996,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2084,Chris,Porter,Chris Porter,SF-PF,77.5,6' 5.5'',214,81.5,6' 9.5'',103.5,8' 7.5'',28.5,35,10.93,3.2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2068,Lavor,Postell,Lavor Postell,SG,76.5,6' 4.5'',205,80.5,6' 8.5'',101.5,8' 5.5'',33.5,36.5,11.79,3.3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2080,Igor,Rakocevic,Igor Rakocevic,PG,74.5,6' 2.5'',184,77.25,6' 5.25'',100,8' 4'',27.5,34,10.4,3.1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12148,Reed,Rawlings,Reed Rawlings,SG-SF,78.25,6' 6.25'',218,81.25,6' 9.25'',104,8' 8'',28.5,33.5,11.1,3.27,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2072,Michael,Redd,Michael Redd,SG-SF,76.75,6' 4.75'',214,81,6' 9'',102,8' 6'',27,31,12.06,3.34,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12149,Damon,Reed,Damon Reed,PF-C,80.5,6' 8.5'',228,81.5,6' 9.5'',104.5,8' 8.5'',27.5,31.5,11.209999999999999,3.3099999999999996,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12021,Aubrey,Reese,Aubrey Reese,PG,70.75,5' 10.75'',189,77.5,6' 5.5'',94.5,7' 10.5'',31.5,37.5,11.129999999999999,3.25,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2121,Terrance,Roberson,Terrance Roberson,SF,77.5,6' 5.5'',209,80,6' 8'',103.5,8' 7.5'',29,32.5,11.66,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12022,Julius Doc,Robinson,Julius Doc Robinson,PG,72,6' 0'',184,75.75,6' 3.75'',95.5,7' 11.5'',30,37.5,12.54,3.4099999999999997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12023,Pepe,Sanchez,Pepe Sanchez,PG,75,6' 3'',194,75.5,6' 3.5'',96,8' 0'',26,31,11.62,3.44,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12024,Matt,Santangelo,Matt Santangelo,PG,72,6' 0'',177,75,6' 3'',94,7' 10'',33.5,43,10.66,3.06,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2637,Alex,Scales,Alex Scales,SG-PG,74.25,6' 2.25'',184.5,81,6' 9'',97.5,8' 1.5'',38.5,42.5,10.98,3.21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12025,Karim,Shabazz,Karim Shabazz,C,83.5,6' 11.5'',224,87,7' 3'',111.5,9' 3.5'',24.5,28,12.719999999999999,3.36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12026,Nick,Sheppard,Nick Sheppard,PF-C,81.5,6' 9.5'',273,83,6' 11'',107.5,8' 11.5'',23.5,25.5,12.139999999999999,3.52,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2065,Mike,Smith,Mike Smith,SF,78.5,6' 6.5'',198,80.5,6' 8.5'',103,8' 7'',33,21,11.32,3.22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
